"","spp","samp","lam"
"731","Ain",67,1.10900028821253
"732","Ami",67,0.662772210725852
"733","Ana",67,0.794366190440854
"734","Aro",67,1.04643360510182
"735","Asp",67,1.04524854729211
"736","Gpe",67,1.08191593562439
"737","Gre",67,1.01774359919052
"738","Acy",68,1.5390923329968
"739","Adi",68,0.952858901601472
"740","Ahu",68,0.893859916316948
"741","Ahy",68,1.87835189520264
"742","Ain",68,1.11945072256966
"743","Ami",68,0.70473923754349
"744","Ana",68,0.731559017986622
"745","Aro",68,1.03600189255773
"746","Asp",68,1.13950634972856
"747","Gpe",68,0.96309009018241
"748","Gre",68,1.02613947709046
"749","Acy",69,1.42814233590129
"750","Adi",69,0.962105924059517
"751","Ahu",69,0.877184133444171
"752","Ahy",69,1.75105924401484
"753","Ain",69,1.33581315445439
"754","Ami",69,0.673577723928234
"755","Ana",69,0.745189573444968
"756","Aro",69,0.984465739874145
"757","Asp",69,1.1816380015587
"758","Gpe",69,1.09746268516113
"759","Gre",69,0.972611322494459
"760","Acy",70,1.42751094925942
"761","Adi",70,0.950076710984901
"762","Ahu",70,0.891255563273748
"763","Ahy",70,1.8041300074261
"764","Ain",70,1.34855567547174
"765","Ami",70,0.626525080605057
"766","Ana",70,0.699556883681911
"767","Aro",70,1.04146552655082
"768","Asp",70,1.20427674622633
"769","Gpe",70,0.939423853092264
"770","Gre",70,1.02129617761536
"771","Acy",71,1.47486228988675
"772","Adi",71,1.05170485655062
"773","Ahu",71,0.906169877587151
"774","Ahy",71,1.77391239990316
"775","Ain",71,1.16893885612073
"776","Ami",71,0.666988597526273
"777","Ana",71,0.719867832839176
"778","Aro",71,1.09863672947946
"779","Asp",71,1.03708214686667
"780","Gpe",71,0.972130232445456
"781","Gre",71,1.02346396454041
"782","Acy",72,1.39725063987466
"783","Adi",72,0.955072297952233
"784","Ahu",72,0.892129412586636
"785","Ahy",72,1.78732028373168
"786","Ain",72,1.07658070633861
"787","Ami",72,0.664831863702618
"788","Ana",72,0.718436154988723
"789","Aro",72,1.00415059698789
"790","Asp",72,1.1827082779045
"791","Gpe",72,0.939823872896883
"792","Gre",72,1.06270884728927
"793","Acy",73,1.36845405391783
"794","Adi",73,1.05684811565358
